,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
273,BMW 3 Series 320d Luxury Line,46000,0,4,2015,17.1,45
274,Maruti Suzuki Celerio VXi AMT [2017-2019],28726,1,13,2018,4.9,529
275,Maruti Suzuki Wagon R 1.0 LXI,32907,1,4,2014,3.13,639
276,Maruti Suzuki Alto 800 Vxi,29092,1,7,2019,3.32,498
277,Hyundai Creta 1.6 S Petrol,62461,1,8,2016,7.45,208
278,Skoda Rapid Ambition 1.6 MPI MT,60000,1,9,2012,3.85,776
279,Jaguar XF 3.0 V6 Premium Luxury,62645,0,6,2015,26.5,369
280,Toyota Innova 2.5 G BS III 7 STR,83000,0,0,2015,9.75,882
281,Hyundai i10 1.1L iRDE Magna Special Edition,55000,1,0,2015,3.5,337
282,Toyota Fortuner 2.8 4x4 AT [2016-2020],181213,0,6,2019,35,871
283,Maruti Suzuki Dzire VXi AMT,25000,1,4,2020,6.9,569
284,Datsun GO T [2018-2019],52000,1,0,2018,2.35,84
285,Ford EcoSport Titanium 1.0 Ecoboost,38203,1,7,2013,4.51,102
286,Maruti Suzuki Wagon R 1.0 LXI CNG,64942,3,4,2017,4.06,641
287,Maruti Suzuki Baleno Delta 1.2,47837,1,4,2018,5.4,512
288,Maruti Suzuki Ertiga Vxi,85000,Petrol ,14,2013,5,583
289,Mercedes-Benz CLA 200 CDI Sport,51500,0,7,2015,16.49,673
290,Skoda Octavia 1.8 TSI L&K,23160,1,6,2018,21,766
291,Toyota Corolla Altis G Petrol,75000,1,13,2015,6.95,858
292,Toyota Corolla Altis 1.8 G AT,63000,1,4,2014,8.83,854
293,BMW 3 Series 320d Luxury Line,104264,0,6,2013,15.5,45
294,Hyundai Elite i20 Asta 1.2 (O) [2016],15972,1,4,2017,6.59,241
295,Hyundai Eon Magna [2011-2012],33146,1,0,2015,3.2,265
296,Maruti Suzuki Swift VXi [2014-2017],30956,1,3,2020,6.74,624
297,Renault Kiger RXT Turbo CVT Dual Tone,4371,1,7,2022,9.98,738
298,Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],63653,0,6,2020,10.75,247
299,Honda City 1.5 V MT,55297,1,13,2013,4.05,157
300,Porsche Cayenne Turbo,12000,1,0,2015,78.57,719
301,Maruti Suzuki Swift DZire VXI,21391,1,7,2014,4.17,610
302,Renault Kwid CLIMBER 1.0 (O),11546,1,4,2021,4.83,745
303,Hyundai Santro Sportz,16270,1,12,2020,5.89,292
304,Nissan Micra XV Diesel,73000,0,0,2012,2.9,710
305,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,53000,1,6,2018,5.49,277
306,Mercedes-Benz CLA 200 Petrol Sport,34000,1,8,2016,19.25,675
307,Hyundai Venue S 1.0 Petrol [2019-2020],16328,1,12,2019,10.64,304
308,Land Rover Range Rover Evoque SE R-Dynamic Petrol,5600,1,13,2021,77,421
309,Maruti Suzuki S-Cross Alpha 1.3,73994,0,6,2016,7.6,600
310,Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,43920,1,2,2019,10.59,326
311,Maruti Suzuki Wagon R 1.0 VXI,17715,1,7,2014,3.17,646
312,Toyota Corolla Altis G Petrol,82902,1,4,2018,10.4,858
313,Land Rover Range Rover Sport SDV6 SE,39012,0,13,2019, 1.23 Crore,422
314,Maruti Suzuki Wagon R 1.0 VXI,23344,1,6,2018,4.71,646
315,Hyundai Verna 1.6 VTVT SX (O),93494,1,7,2019,7.49,318
316,Honda Jazz V AT Petrol,27222,1,8,2018,7.25,191
317,Hyundai Creta S 1.5 Diesel [2020-2022],14468,0,6,2021,16,221
318,Honda Jazz V Diesel,40000,Diesel ,10,2017,7.47,192
319,Maruti Suzuki Ciaz ZXI+,65000,1,13,2015,5.75,559
320,Maruti Suzuki Alto K10 LXi,60028,1,4,2012,1.9,500
321,Mercedes-Benz CLA 200 CDI Sport,37300,0,2,2018,29.5,673
322,Hyundai Creta 1.6 SX Plus AT Petrol,32143,1,8,2018,11.25,214
323,Hyundai Elite i20 Asta 1.2 [2016-2017],55669,1,3,2016,6.45,244
324,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],72757,1,4,2016,4.05,276
325,Honda City SV CVT,56000,1,0,2017,8.75,165
326,Maruti Suzuki Swift VXi ABS,70244,1,7,2013,3.26,621
327,BMW X1 sDrive20d xLine,46595,0,4,2018,21.45,66
328,Maruti Suzuki XL6 Zeta MT Petrol,20703,1,0,2020,9.51,660
329,Tata Harrier XZ [2019-2020],47579,0,8,2019,14.65,801
330,BMW X1 sDrive20d xLine,31000,0,7,2019,28,66
331,Mercedes-Benz GLE 350 d,31300,0,0,2019,58,696
332,Ford EcoSport Titanium+ 1.5L TDCi Black Edition,52157,0,6,2016,7.5,111
333,Mahindra XUV500 W6 AT,91000,0,0,2016,9.5,484
334,Audi A6 2.0 TDI Premium,69631,0,6,2013,21,18
335,Hyundai i20 Active 1.2 S,32036,1,8,2018,6.11,347
336,Mercedes-Benz AMG GLA35 4MATIC,2000,1,3,2022,64.5,663
337,Hyundai Elite i20 Asta 1.2,22621,1,7,2018,6,239
338,Honda City VX,45000,1,13,2015,6.25,172
339,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,33423,1,12,2019,11.26,324
340,Hyundai i10 1.1L iRDE Magna Special Edition,31500,1,0,2015,3.5,337
341,Hyundai Creta SX Plus 1.6  Petrol,51000,1,13,2017,9.25,231
342,Renault Duster 85 PS RXS 4X2 MT Diesel,39030,0,2,2018,9.79,731
343,Mercedes-Benz C-Class C 200 Avantgarde Edition,27236,1,2,2018,30.56,668
